title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968.0,8.3,741185.0,AU,8.444444444444445,High
Million Dollar Baby,movie,"Drama, Sport",2004.0,8.1,736377.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, FR, GF, GT, HN, IT, JM, LC, MX, NI, PA, PE, PF, PY, SM, SV, TC, TT, US, UY, VE",8.444444444444445,High
Das Boot - Die komplette TV-Serie,tv,"Drama, War",1985.0,8.7,161.0,"AT, CH, DE, LI",8.444444444444445,High
Black,movie,Drama,2005.0,8.1,36678.0,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EE, EG, ES, FI, FJ, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HR, ID, IE, IL, IN, IS, IT, JM, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NL, NO, NZ, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, ZA, ZM, ZW",8.444444444444445,High
Indian,movie,"Action, Drama, Thriller",1996.0,8.1,15278.0,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CR, CU, CV, CY, CZ, DE, DK, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, PE, PF, PH, PK, PL, PT, PY, QA, RO, RS, SC, SE, SG, SI, SK, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, VE, ZA, ZM, ZW",8.444444444444445,High
Big Boys,tv,"Comedy, Drama",2022.0,8.4,4700.0,"BM, GB, GG, GI, IE, TC",8.444444444444445,High
Scavengers Reign,tv,"Adventure, Animation, Drama",2023.0,8.6,26021.0,"BM, GB, GG, GI, IE, NZ, US",8.444444444444445,High
Old Fashion Cupcake,tv,"Drama, Romance",2022.0,8.0,1117.0,JP,8.444444444444445,High
Sea of Love,tv,"Adventure, Animation, Comedy",2022.0,8.2,82.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Oni: Thunder God's Tale,tv,"Action, Adventure, Animation",2022.0,8.1,1337.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
